EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,SuccessInsertion,TimeElapsed,TimestepsSoFar
150.0,-634.6903328248534,79,79,0,19.390936136245728,11851
150.0,-620.2706990640036,79,158,0,37.53107953071594,23702
150.0,-605.0463722698025,79,237,0,57.97978901863098,35553
150.0,-573.2298800506373,79,316,0,77.4983880519867,47404
150.0,-583.1062453751663,79,395,0,95.16642618179321,59255
150.0,-553.4487032639,79,474,0,114.89763331413269,71106
150.0,-525.6912436951144,79,553,0,132.29427003860474,82957
150.0,-530.5789959339493,79,632,0,150.05531930923462,94808
150.0,-517.6028743540771,79,711,0,170.14124059677124,106659
150.0,-521.2264854273658,79,790,0,189.75114512443542,118510
150.0,-505.55478324320427,79,869,0,211.0514736175537,130361
150.0,-509.3226740152545,79,948,0,228.60227823257446,142212
150.0,-489.3183004009282,79,1027,0,247.44240856170654,154063
150.0,-497.86525040766145,79,1106,0,265.0595233440399,165914
150.0,-483.994801486159,79,1185,0,283.2540535926819,177765
150.0,-485.13862992021205,79,1264,0,301.8370113372803,189616
150.0,-464.45733486930214,79,1343,0,320.555006980896,201467
150.0,-471.32102526887167,79,1422,0,340.10363578796387,213318
150.0,-490.2570864466555,79,1501,0,591.6539499759674,225169
150.0,-467.60081660235363,79,1580,0,857.2825419902802,237020
150.0,-486.239977713902,79,1659,0,1128.4616241455078,248871
150.0,-463.687894326389,79,1738,0,1399.3637714385986,260722
150.0,-434.164233056889,79,1817,0,1683.6548612117767,272573
150.0,-458.47191056752797,79,1896,0,1971.4407348632812,284424
150.0,-434.5459083613714,79,1975,0,2248.2304904460907,296275
150.0,-400.6838049718362,79,2054,0,2525.972396373749,308126
150.0,-378.96930839236086,79,2133,0,2798.6305508613586,319977
150.0,-380.9862755203443,79,2212,0,3080.8469111919403,331828
150.0,-373.6814984831566,79,2291,0,3376.925686120987,343679
150.0,-401.5982909709864,79,2370,0,3689.8723905086517,355530
150.0,-384.35701641286266,79,2449,0,3992.4460961818695,367381
150.0,-388.1198029855251,79,2528,0,4297.700396776199,379232
150.0,-418.60744790275294,79,2607,0,4599.4513392448425,391083
150.0,-420.22724488180995,79,2686,0,4901.649168729782,402934
150.0,-426.50509317709736,79,2765,0,5207.001659154892,414785
150.0,-425.67835836240204,79,2844,0,5510.457182168961,426636
150.0,-429.0403398538635,79,2923,0,5814.653546094894,438487
150.0,-411.7264495171765,79,3002,0,6137.372404336929,450338
150.0,-369.9174144103227,79,3081,0,6490.318063497543,462189
150.0,-370.57185590884535,79,3160,0,6839.450814008713,474040
150.0,-357.31307568630007,79,3239,0,7185.856650590897,485891
150.0,-369.77419902902267,79,3318,0,7601.720842838287,497742
150.0,-358.91093516045834,79,3397,0,8155.703822612762,509593
150.0,-355.42946564856436,79,3476,0,8793.929229259491,521444
150.0,-365.81932206418116,79,3555,0,9286.785116910934,533295
150.0,-361.6855305683779,79,3634,0,9867.648571252823,545146
150.0,-348.49899758463346,80,3714,1,10432.809241056442,556997
150.0,-378.17917678200763,79,3793,0,10839.73267006874,568848
150.0,-379.3660503712223,79,3872,0,11246.068535089493,580699
150.0,-367.5059268325714,80,3952,1,11739.47117805481,592550
150.0,-371.51806920517754,82,4034,3,12288.215535879135,604401
150.0,-359.1626088700593,85,4119,6,12833.613745450974,616252
150.0,-363.7444267960533,79,4198,0,13285.78151679039,628103
150.0,-348.9467200792834,79,4277,0,13791.95215678215,639954
150.0,-385.77315135131573,81,4358,2,14224.844974279404,651805
150.0,-359.3151119958152,79,4437,0,14677.113592863083,663656
150.0,-365.3779627792786,82,4519,3,15194.966240644455,675507
150.0,-320.46178805847427,80,4599,2,15696.67198729515,687358
150.0,-326.0682451245133,83,4682,4,16139.640825748444,699209
